date,open,high,low,close,volume
2025-05-20,3228.09,3295.67,3204.56,3289.86,251200.0
2025-05-21,3292.65,3324.82,3285.38,3315.32,275597.0
2025-05-22,3319.33,3345.4,3279.21,3294.79,304482.0
2025-05-23,3297.61,3365.92,3287.1,3360.25,279512.0
2025-05-26,3352.27,3356.79,3323.76,3342.31,145749.0
2025-05-27,3346.47,3349.93,3285.36,3300.69,238999.0
2025-05-28,3304.21,3325.53,3276.36,3288.47,223928.0
2025-05-29,3289.53,3331.27,3245.42,3317.7,279853.0
2025-05-30,3317.82,3322.75,3271.52,3291.13,249409.0
2025-06-02,3303.26,3382.88,3299.97,3381.67,250506.0
2025-06-03,3384.78,3392.12,3333.18,3353.49,233459.0
2025-06-04,3356.74,3384.64,3343.86,3372.32,235157.0
2025-06-05,3374.0,3403.58,3339.41,3352.78,277283.0
2025-06-06,3356.0,3375.62,3307.13,3312.05,268932.0
2025-06-09,3318.28,3338.25,3293.58,3325.6,216328.0
2025-06-10,3324.29,3349.16,3301.93,3322.5,223093.0
2025-06-11,3322.35,3360.69,3315.55,3355.03,247329.0
2025-06-12,3357.95,3399.0,3338.59,3386.9,285114.0
2025-06-13,3383.81,3446.75,3379.65,3432.77,313228.0
2025-06-16,3441.19,3451.26,3382.79,3385.38,255055.0
2025-06-17,3388.13,3403.26,3366.22,3388.59,263410.0
2025-06-18,3395.4,3400.06,3362.63,3369.37,247045.0
2025-06-19,3371.44,3387.9,3347.55,3370.64,196841.0
2025-06-20,3370.35,3374.49,3340.4,3369.04,214585.0
2025-06-23,3384.07,3393.51,3347.12,3369.19,262301.0
2025-06-24,3358.81,3363.73,3295.54,3323.08,271534.0
2025-06-25,3322.56,3337.06,3312.01,3332.25,195138.0
2025-06-26,3334.43,3350.3,3309.96,3327.89,219336.0
2025-06-27,3325.33,3325.33,3255.84,3274.57,261205.0
2025-06-30,3272.56,3309.54,3245.62,3302.98,209291.0
2025-07-01,3304.08,3358.07,3302.34,3338.99,227965.0
2025-07-02,3339.91,3360.14,3327.55,3357.11,204300.0
2025-07-03,3359.39,3365.72,3311.68,3326.11,204534.0
2025-07-04,3324.74,3345.09,3323.62,3337.08,123579.0
2025-07-07,3341.5,3341.97,3296.5,3336.35,234456.0
2025-07-08,3341.22,3345.86,3287.11,3301.67,228851.0
2025-07-09,3302.96,3316.87,3282.74,3313.69,199578.0
2025-07-10,3315.8,3330.31,3310.17,3324.02,176333.0
2025-07-11,3325.97,3368.75,3321.88,3357.57,234402.0
2025-07-14,3361.22,3374.97,3341.1,3343.49,207223.0
2025-07-15,3343.11,3366.38,3320.25,3324.91,201505.0
2025-07-16,3326.22,3377.33,3319.74,3347.53,231623.0
2025-07-17,3350.88,3352.23,3309.87,3339.14,193667.0
2025-07-18,3341.53,3361.26,3331.87,3350.67,170340.0
2025-07-21,3348.92,3401.62,3345.06,3397.09,201439.0
2025-07-22,3399.16,3433.48,3383.33,3431.71,213484.0
