report_date_as_yyyy_mm_dd,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,report_date
2014-06-03T00:00:00.000,382141,157332,98181,159545,222989,2014-06-03
2014-06-10T00:00:00.000,378689,159567,98440,156553,219703,2014-06-10
2014-06-17T00:00:00.000,379843,162052,83757,157023,235348,2014-06-17
2014-06-24T00:00:00.000,392388,183433,62574,142864,274471,2014-06-24
2014-07-01T00:00:00.000,401813,201287,55262,135444,295899,2014-07-01
2014-07-08T00:00:00.000,410992,203464,53443,135998,302001,2014-07-08
2014-07-15T00:00:00.000,408368,199950,57492,138542,295448,2014-07-15
2014-07-22T00:00:00.000,405617,197835,51689,134809,295000,2014-07-22
2014-07-29T00:00:00.000,374467,188980,49827,126297,275229,2014-07-29
2014-08-05T00:00:00.000,360342,176386,54923,123492,255134,2014-08-05
2014-08-12T00:00:00.000,368114,191325,43644,113862,274549,2014-08-12
2014-08-19T00:00:00.000,366401,183846,45870,122377,270039,2014-08-19
2014-08-26T00:00:00.000,363608,172022,58853,127433,250981,2014-08-26
2014-09-02T00:00:00.000,371515,172522,75643,134701,238408,2014-09-02
2014-09-09T00:00:00.000,384341,177555,82414,141921,239876,2014-09-09
2014-09-16T00:00:00.000,386080,170749,98562,145480,221723,2014-09-16
2014-09-23T00:00:00.000,385788,170382,106498,148615,212934,2014-09-23
2014-09-30T00:00:00.000,379874,171075,106205,145396,206125,2014-09-30
2014-10-07T00:00:00.000,380087,174075,107628,143466,206873,2014-10-07
2014-10-14T00:00:00.000,397855,193580,108165,140637,219460,2014-10-14
2014-10-21T00:00:00.000,411057,207129,99145,139429,244327,2014-10-21
2014-10-28T00:00:00.000,414410,195885,95146,146345,245209,2014-10-28
2014-11-04T00:00:00.000,417377,176899,113674,161667,216974,2014-11-04
2014-11-11T00:00:00.000,443422,177268,121225,184326,234350,2014-11-11
2014-11-18T00:00:00.000,459657,187955,106533,193668,264665,2014-11-18
2014-11-25T00:00:00.000,388145,167394,91187,156334,224819,2014-11-25
2014-12-02T00:00:00.000,368121,170635,81305,135777,225185,2014-12-02
2014-12-09T00:00:00.000,375323,186861,71999,125091,241692,2014-12-09
2014-12-16T00:00:00.000,371743,182147,63739,132868,247959,2014-12-16
2014-12-23T00:00:00.000,375212,180980,70070,134796,240021,2014-12-23
2014-12-30T00:00:00.000,373982,182897,67060,125818,238952,2014-12-30
2015-01-06T00:00:00.000,394021,187705,65527,130427,253099,2015-01-06
2015-01-13T00:00:00.000,402108,192959,62733,129436,267112,2015-01-13
2015-01-20T00:00:00.000,430128,223257,60802,120946,298756,2015-01-20
2015-01-27T00:00:00.000,438279,238407,49482,117326,323486,2015-01-27
2015-02-03T00:00:00.000,419524,229006,43991,117174,320447,2015-02-03
2015-02-10T00:00:00.000,393232,199036,43762,120702,291293,2015-02-10
2015-02-17T00:00:00.000,389530,188121,56387,125433,269068,2015-02-17
2015-02-24T00:00:00.000,399307,184416,58245,133432,269126,2015-02-24
2015-03-03T00:00:00.000,405124,180561,64741,140080,263467,2015-03-03
2015-03-10T00:00:00.000,410918,171821,89929,154578,243920,2015-03-10
2015-03-17T00:00:00.000,429738,162268,109175,180464,236954,2015-03-17
2015-03-24T00:00:00.000,433767,168234,113953,178058,230983,2015-03-24
2015-03-31T00:00:00.000,387585,172818,92799,144197,225312,2015-03-31
2015-04-07T00:00:00.000,390571,183130,82373,133199,241488,2015-04-07
2015-04-14T00:00:00.000,395089,184741,86344,130960,234553,2015-04-14
2015-04-21T00:00:00.000,397379,184567,83322,126107,231113,2015-04-21
2015-04-28T00:00:00.000,403575,189929,88672,125733,232605,2015-04-28
2015-05-05T00:00:00.000,399988,173105,100665,138096,212258,2015-05-05
2015-05-12T00:00:00.000,405612,179257,101817,144829,222331,2015-05-12
2015-05-19T00:00:00.000,428597,202190,79569,140751,273085,2015-05-19
2015-05-26T00:00:00.000,411961,191951,87257,144540,254260,2015-05-26
2015-06-02T00:00:00.000,398724,194299,89889,138423,246573,2015-06-02
2015-06-09T00:00:00.000,406069,186813,111723,150277,228866,2015-06-09
2015-06-16T00:00:00.000,415718,191053,115330,153712,230349,2015-06-16
2015-06-23T00:00:00.000,430978,202944,107830,150444,251332,2015-06-23
2015-06-30T00:00:00.000,442301,194476,127321,163797,238566,2015-06-30
2015-07-07T00:00:00.000,452145,193776,143328,172552,225141,2015-07-07
2015-07-14T00:00:00.000,462664,191014,143190,183945,232414,2015-07-14
2015-07-21T00:00:00.000,459760,187720,159441,189676,211260,2015-07-21
2015-07-28T00:00:00.000,438282,182977,158512,176720,191986,2015-07-28
2015-08-04T00:00:00.000,434273,184792,154892,170826,185646,2015-08-04
2015-08-11T00:00:00.000,435489,187778,155336,166020,190478,2015-08-11
2015-08-18T00:00:00.000,432728,185712,144053,166062,196010,2015-08-18
